"winner","avg_rating","rating_category","white_bishop_rem","white_knight_rem","white_pawn_rem","white_queen_rem","white_rook_rem","black_bishop_rem","black_knight_rem","black_pawn_rem","black_queen_rem","black_rook_rem"
"black",1147.5,"Novice","1","0","2","0","0","0","0","0","0","0"
"white",1098,"Novice","0","0","0","0","0","0","0","3","0","0"
"black",1060,"Novice","0","0","4","0","2","1","0","2","0","0"
"white",1056.5,"Novice","1","0","0","0","1","1","0","2","0","1"
"white",1012.5,"Novice","0","0","3","0","0","0","0","4","1","1"
"black",1113,"Novice","0","0","2","0","0","0","1","1","0","1"
"white",858,"Rookie","1","2","5","1","2","1","0","4","1","2"
"white",858,"Rookie","0","1","2","0","0","0","2","6","1","2"
"black",858,"Rookie","0","0","4","1","2","0","0","1","0","2"
"draw",1339.5,"ClassD","0","1","0","0","0","0","0","0","0","1"
"white",1263.5,"ClassD","0","0","4","1","0","0","0","6","1","2"
"white",1118.5,"Novice","1","2","6","0","2","1","2","6","1","2"
"white",1269,"ClassD","1","1","7","1","2","1","0","7","1","2"
"black",1230.5,"ClassD","0","0","3","1","0","0","0","3","0","0"
"white",1407.5,"ClassC","0","1","5","0","2","1","1","6","0","2"
"white",1231,"ClassD","1","2","6","0","2","2","1","4","0","2"
"white",1088.5,"Novice","1","1","4","1","2","1","1","6","1","2"
"white",1047.5,"Novice","1","2","5","1","2","1","2","4","1","1"
"black",1386,"ClassD","0","1","7","1","2","1","1","7","1","2"
